time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-14T18:16:25.061Z,45.526,13.119,15.0,1.6,ML,7,268.2,2.26,0.52,oe,oe52982224,2021-02-14T18:18:10.660Z,NORTHERN ITALY,earthquake,,,0.2,6,automatic,oe,oe
2021-02-14T16:25:56.697Z,47.033,15.261,0.0,1.1,ML,6,121.6,1.19,0.24,oe,oe52982219,2021-02-14T16:26:27.358Z,AUSTRIA,earthquake,,,0.1,4,automatic,oe,oe
2021-02-14T16:06:44.677Z,-24.970,158.744,15.0,5.4,mb,9,357.0,147.03,0.39,oe,oe52982220,2021-02-14T16:26:30.047Z,EAST OF AUSTRALIA,earthquake,,,0.2,8,automatic,oe,oe
2021-02-14T15:07:38.141Z,-23.338,171.640,10.0,5.0,mb,,,,,oe,oe52982190,2021-02-14T15:38:30.987Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-14T15:01:42.496Z,-23.233,171.747,10.0,0.0,-,,,,,oe,oe52982178,2021-02-14T15:43:54.662Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-14T15:01:37.449Z,-35.539,163.453,15.0,6.1,mb,8,349.6,156.02,0.41,oe,oe52982183,2021-02-14T15:21:56.161Z,EAST OF AUSTRALIA,earthquake,,,0.4,4,automatic,oe,oe
2021-02-14T14:03:14.620Z,45.632,12.890,15.0,1.8,ML,6,216.6,2.07,0.41,oe,oe52982173,2021-02-14T14:03:56.289Z,NORTHERN ITALY,earthquake,,,0.3,4,automatic,oe,oe
2021-02-14T13:52:28.572Z,-23.328,171.606,10.0,4.8,mb,,,,,oe,oe52982176,2021-02-14T15:59:20.777Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-14T13:43:52.980Z,-23.535,171.632,0.0,4.1,mb,,,,,oe,oe52982174,2021-02-14T15:57:57.433Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,7,manual,oe,oe
2021-02-14T12:16:48.966Z,-23.330,171.523,10.0,5.0,mb,,,,,oe,oe52982169,2021-02-14T15:53:57.866Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-14T08:46:08.788Z,5.913,151.072,15.0,5.8,mb,30,354.4,117.30,0.48,oe,oe52982139,2021-02-14T09:05:09.906Z,E. CAROLINE ISLANDS  MICRONESIA,earthquake,,,0.4,23,automatic,oe,oe
2021-02-14T08:44:59.910Z,-22.559,171.130,10.0,0.0,-,,,,,oe,oe52982133,2021-02-14T09:45:11.874Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-14T08:09:25.370Z,-22.696,171.068,10.0,0.0,-,,,,,oe,oe52982101,2021-02-14T09:31:24.739Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-14T07:43:38.346Z,49.470,12.597,0.0,2.2,ML,7,186.3,2.43,0.46,oe,oe52982097,2021-02-14T07:44:26.471Z,GERMANY,earthquake,,,0.1,6,automatic,oe,oe
2021-02-14T07:31:49.204Z,37.483,141.500,38.2,0.0,-,,,,,oe,oe52982096,2021-02-14T09:24:52.276Z,NEAR EAST COAST OF HONSHU  JAPAN,earthquake,,,,,manual,oe,oe
2021-02-14T06:34:22.554Z,47.302,15.610,357.7,0.9,ML,6,158.9,1.89,0.06,oe,oe52982088,2021-02-14T06:35:19.695Z,AUSTRIA,earthquake,14.0,18.1,0.3,4,automatic,oe,oe
2021-02-14T06:15:20.320Z,-22.720,171.156,0.0,4.3,mb,,,,,oe,oe52982090,2021-02-14T09:18:06.652Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,7,manual,oe,oe
2021-02-14T02:33:42.201Z,46.572,9.585,3.0,1.6,ML,10,149.0,1.28,0.27,oe,oe52982086,2021-02-14T09:12:31.928Z,SWITZERLAND,earthquake,2.6,,0.4,5,manual,oe,oe
2021-02-13T23:21:17.500Z,45.430,16.130,3.0,3.4,ML,,,,,oe,oe52982076,2021-02-14T09:01:09.475Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-13T19:05:43.140Z,-23.072,171.653,0.0,4.2,mb,,,,,oe,oe52982074,2021-02-14T08:58:14.049Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,9,manual,oe,oe
2021-02-13T15:33:57.936Z,-7.293,149.397,51.8,0.0,-,,,,,oe,oe52982071,2021-02-14T08:55:52.163Z,NEW BRITAIN REGION  P.N.G.,earthquake,,,,,manual,oe,oe
2021-02-13T14:51:42.118Z,37.681,141.752,50.3,5.3,mb,,,,,oe,oe52982041,2021-02-13T15:27:41.816Z,NEAR EAST COAST OF HONSHU  JAPAN,earthquake,,,,,manual,oe,oe
2021-02-13T14:07:52.000Z,37.700,141.800,58.0,0.0,-,,,,,oe,oe52982007,2021-02-14T08:46:35.394Z,NEAR EAST COAST OF HONSHU  JAPAN,earthquake,,,,,manual,oe,oe
2021-02-13T13:08:55.098Z,57.123,-155.051,39.3,0.0,-,,,,,oe,oe52981980,2021-02-13T15:02:03.565Z,ALASKA PENINSULA,earthquake,,,,,manual,oe,oe
2021-02-13T11:29:23.856Z,40.026,44.459,10.0,4.9,mb,,,,,oe,oe52981941,2021-02-13T15:34:18.591Z,GEORGIA-ARMENIA-TURKEY BORD REG.,earthquake,,,,,manual,oe,oe
2021-02-13T08:43:28.509Z,48.833,13.824,15.0,1.8,ML,7,209.6,2.50,0.48,oe,oe52981894,2021-02-13T08:44:16.400Z,AUSTRIA,earthquake,,,0.1,4,automatic,oe,oe
2021-02-13T07:36:15.123Z,45.766,13.156,15.0,1.6,ML,7,201.9,2.27,0.52,oe,oe52981822,2021-02-13T07:37:02.365Z,NORTHERN ITALY,earthquake,,,0.2,4,automatic,oe,oe
2021-02-13T05:28:30.313Z,45.615,13.018,0.0,2.0,ML,9,217.6,2.16,0.42,oe,oe52981680,2021-02-13T05:29:12.313Z,NORTHERN ITALY,earthquake,12.9,,0.2,6,automatic,oe,oe
2021-02-13T04:19:35.000Z,45.530,15.960,12.0,2.6,ML,,,,,oe,oe52981554,2021-02-13T07:13:07.326Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-13T04:05:56.800Z,-22.996,171.441,0.0,4.4,mb,,,,,oe,oe52981560,2021-02-13T15:43:10.577Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,5,manual,oe,oe
2021-02-13T04:02:58.000Z,45.520,16.010,10.0,1.9,ML,,,,,oe,oe52981552,2021-02-13T07:10:08.393Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-13T03:55:23.000Z,45.400,16.210,8.0,3.4,ML,,,,,oe,oe52981543,2021-02-13T07:08:11.208Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-12T20:55:16.581Z,-23.263,171.774,10.0,0.0,-,,,,,oe,oe52981540,2021-02-13T13:21:42.928Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T17:01:34.628Z,38.132,73.569,91.6,0.0,-,,,,,oe,oe52981504,2021-02-13T13:19:54.895Z,TAJIKISTAN-XINJIANG BORDER REG.,earthquake,,,,,manual,oe,oe
2021-02-12T16:07:11.181Z,47.800,16.181,10.9,2.6,ML,11,68.6,1.29,0.74,oe,oe52981442,2021-02-12T16:23:26.499Z,AUSTRIA,earthquake,2.9,,0.3,7,manual,oe,oe
2021-02-12T15:36:47.114Z,48.753,13.864,15.0,2.0,ML,6,204.8,2.46,0.48,oe,oe52981369,2021-02-12T15:37:33.195Z,AUSTRIA,earthquake,,,0.3,5,automatic,oe,oe
2021-02-12T14:54:23.061Z,-23.203,171.764,10.0,5.3,mb,,,,,oe,oe52981263,2021-02-13T08:41:39.583Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T11:23:28.000Z,-23.964,165.989,430.5,3.2,mb,,,,,oe,oe52980912,2021-02-12T12:57:32.701Z,NEW CALEDONIA,earthquake,,,0.5,5,manual,oe,oe
2021-02-12T11:05:38.484Z,-23.294,171.631,10.0,0.0,-,,,,,oe,oe52980651,2021-02-12T12:57:32.702Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T11:00:40.140Z,-22.347,170.945,0.0,4.4,mb,,,,,oe,oe52980644,2021-02-12T12:51:44.464Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,6,manual,oe,oe
2021-02-12T10:53:31.398Z,48.617,14.307,15.0,2.2,ML,7,195.3,2.24,0.37,oe,oe52980630,2021-02-12T10:54:21.458Z,AUSTRIA,earthquake,,,0.3,5,automatic,oe,oe
2021-02-12T10:34:13.551Z,-23.387,171.719,10.0,5.3,mb,,,,,oe,oe52980627,2021-02-12T14:15:27.505Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
